Neuron,Start Time,Amplitude,Peak,Decay Time,Rise Time,Latency,Frequency
n1,1,0.15576666666666666,0.06,0,0,0,0.5333333333333333
n1,6,0.15156666666666668,0.032,0,0,0,0.4666666666666667
n1,11,0.1350666666666667,-0.013,0,1,1,0.5
n1,16,0.14826666666666666,-0.013,0,0,0,0.43333333333333335
n1,21,0.1717,0.02,0,1,1,0.4666666666666667
n1,26,0.16493333333333332,0.02,0,0,0,0.4666666666666667
n1,31,0.16443333333333332,0.02,0,2,2,0.5
n1,36,0.16313333333333327,0.02,0,2,2,0.4666666666666667
n1,41,0.19553333333333334,0.062,0,3,3,0.4
n1,46,0.18359999999999999,0.062,0,0,0,0.4666666666666667
n1,51,0.19623333333333337,0.062,0,0,0,0.43333333333333335
n1,56,0.19206666666666666,0.062,0,3,3,0.5
n1,61,0.19723333333333332,0.062,0,3,3,0.4666666666666667
n1,66,0.18343333333333334,0.062,1,0,1,0.5333333333333333
n1,71,0.16499999999999998,0.044,0,1,1,0.6
n1,76,0.16086666666666666,0.044,0,0,0,0.5
n1,81,0.15789999999999998,0.044,0,0,0,0.5333333333333333
n1,86,0.15016666666666667,0.044,0,6,6,0.5
n1,91,0.1441,0.044,0,1,1,0.4666666666666667
n1,96,0.14603333333333332,0.037,0,1,1,0.5333333333333333
n1,101,0.14713333333333334,0.037,0,1,1,0.5666666666666667
n1,106,0.14273333333333332,0.037,0,3,3,0.5333333333333333
n1,111,0.14,0.046,0,1,1,0.6
n1,116,0.17726666666666668,0.089,0,1,1,0.5666666666666667
n1,121,0.22336666666666669,0.165,0,2,2,0.36666666666666664
n1,126,0.2769,0.252,0,11,11,0.3
n1,131,0.23793333333333333,0.252,0,6,6,0.4666666666666667
n1,136,0.30720000000000003,0.376,0,9,9,0.4666666666666667
n1,141,0.25293333333333334,0.376,0,7,7,0.6
n1,146,0.22773333333333337,0.401,0,5,5,0.5666666666666667
n1,151,0.21136666666666667,0.401,1,0,1,0.5
n1,156,0.22743333333333332,0.401,0,3,3,0.5666666666666667
n1,161,0.27013333333333334,0.401,0,0,0,0.5333333333333333
n1,166,0.3357666666666667,0.401,3,0,3,0.43333333333333335
n1,171,0.41503333333333337,0.401,1,0,1,0.4
n1,176,0.42136666666666667,0.337,2,0,2,0.43333333333333335
n1,181,0.1726666666666667,0.043,0,0,0,0.43333333333333335
n1,186,0.12746666666666667,-0.021,0,0,0,0.4
n1,191,0.11860000000000001,-0.042,0,1,1,0.5
n1,196,0.12683333333333333,-0.042,0,4,4,0.5333333333333333
n1,201,0.11086666666666667,-0.042,0,3,3,0.4666666666666667
n1,206,0.14220000000000002,0.001,0,0,0,0.5333333333333333
n1,211,0.15206666666666666,0.001,0,0,0,0.5
n1,216,0.15826666666666667,0.001,0,5,5,0.5333333333333333
n1,221,0.15759999999999996,0.001,0,0,0,0.5666666666666667
