Neuron,Start Time,Amplitude,Peak,Decay Time,Rise Time,Latency,Frequency,k-means-ED,k-means-EMD,k-means-Hausdorff,k-means-Manhattan,Hierarchical,GMM,Spectral,t-SNE-1,t-SNE-2,UMAP-1,UMAP-2
n1,1,0.378866667,0.393,0,0,0,0.433333333,3,0,1,1,0,4,0,-89.662224,12.393549,4.1386585,-12.141749
n1,6,0.234133333,0.191,0,0,0,0.566666667,3,0,1,1,0,4,0,-84.113495,16.507229,4.4446335,-11.58249
n1,11,0.258433333,0.191,0,1,1,0.533333333,3,0,1,1,0,4,0,-87.067276,23.179237,5.007249,-12.478495
n1,16,0.300433333,0.191,0,1,1,0.466666667,3,0,1,1,0,4,0,-81.389275,26.665453,5.2518625,-11.378251
n1,21,0.294433333,0.191,0,0,0,0.433333333,3,0,1,1,0,4,0,-81.41268,35.22447,8.087042,-6.709199
n1,26,0.2859,0.191,1,0,1,0.466666667,3,0,1,1,0,3,0,-74.03701,36.847095,5.2690167,-14.293862
n1,31,0.197366667,0.08,0,0,0,0.466666667,3,0,1,1,0,4,0,-74.07756,26.10369,6.729381,-12.91752
n1,36,0.1933,0.08,0,0,0,0.466666667,3,0,1,1,0,4,0,-70.98873,30.188189,7.297318,-13.008733
n1,41,0.186366667,0.08,0,5,5,0.466666667,3,0,1,1,0,1,0,-67.47467,25.604767,7.5093246,-12.395266
n1,46,0.152966667,0.08,1,0,1,0.566666667,3,0,1,1,0,3,0,-64.020454,23.125513,7.6890235,-11.9411125
n1,51,0.166233333,0.08,0,0,0,0.533333333,3,0,1,1,0,4,0,-64.4461,18.610376,7.680265,-11.43799
n1,56,0.156,0.055,2,0,2,0.433333333,3,0,1,1,0,3,0,-68.75717,15.237449,6.620139,-11.355565
n1,61,0.157566667,0.055,0,1,1,0.433333333,3,0,1,1,0,4,0,-69.68212,9.5780735,5.951301,-12.712002
n1,66,0.179866667,0.055,0,3,3,0.433333333,3,0,1,1,0,4,0,-75.78508,5.445637,7.1021028,-10.634482
n1,71,0.1883,0.055,0,0,0,0.5,3,0,1,1,0,4,0,-73.20192,0.8707465,7.859952,-10.711961
n1,76,0.2215,0.055,0,0,0,0.566666667,3,0,1,1,0,4,0,-80.41526,10.076805,7.561026,-10.176518
n1,81,0.243566667,0.055,0,0,0,0.533333333,3,0,1,1,0,4,0,-85.853935,3.7277346,7.8708334,-9.427132
n1,86,0.176366667,-0.021,0,0,0,0.5,3,0,1,1,0,4,0,-81.01735,-2.906279,6.778068,-9.473252
n1,91,0.185233333,-0.021,0,1,1,0.5,3,0,1,1,0,4,0,-87.0091,-4.605689,7.0461745,-8.903388
n1,96,0.138366667,-0.059,0,2,2,0.566666667,3,0,1,1,0,4,0,-83.25049,-12.960511,6.378174,-8.981691
n1,101,0.136633333,-0.059,0,0,0,0.566666667,3,0,1,1,0,4,0,-77.97385,-17.75581,5.787992,-9.258123
n1,106,0.1566,-0.015,0,1,1,0.466666667,3,0,1,1,0,4,0,-83.86584,-20.23831,5.784906,-9.816228
n1,111,0.188366667,0.047,0,0,0,0.433333333,3,0,1,1,0,4,0,-82.66461,-27.357796,5.068007,-13.784131
n1,116,0.1805,0.047,0,4,4,0.4,3,0,1,1,0,4,0,-75.503296,-32.825325,3.534481,-13.179766
n1,121,0.158166667,0.047,0,9,9,0.466666667,3,0,1,1,0,1,0,-75.37823,-37.41319,2.912063,-13.084322
n1,126,0.152666667,0.047,0,4,4,0.5,3,0,1,1,0,4,0,-77.08029,-39.244083,2.5988867,-12.851544
n1,131,0.145833333,0.047,0,1,1,0.466666667,3,0,1,1,0,4,0,-76.36295,-45.131233,2.2402089,-13.21469
n1,136,0.1628,0.047,1,0,1,0.466666667,3,0,1,1,0,3,0,-70.879616,-50.054855,5.9076176,-15.4028425
