epoch,train_loss,train_acc,val_loss,val_acc
1,1.0819,46.97,0.8611,98.47
2,0.7353,82.50,0.3840,97.97
3,0.3464,96.07,0.1413,99.15
4,0.1428,98.74,0.0828,98.64
5,0.0710,99.12,0.0678,98.47
6,0.0408,99.50,0.0207,99.66
7,0.0308,99.67,0.0207,99.49
8,0.0228,99.71,0.0159,99.66
9,0.0236,99.67,0.0279,99.32
10,0.0206,99.67,0.0199,99.66
11,0.0202,99.71,0.0131,99.49
12,0.0135,99.87,0.0099,99.49
13,0.0071,99.96,0.0070,99.83
14,0.0082,99.92,0.0065,99.83
15,0.0070,99.92,0.0051,99.83
16,0.0057,99.96,0.0054,99.83
17,0.0064,99.96,0.0037,99.83
18,0.0066,99.92,0.0063,99.83
19,0.0055,99.96,0.0050,99.83
20,0.0102,99.96,0.0037,99.83
21,0.0057,99.96,0.0035,99.83
22,0.0052,99.96,0.0044,99.83
23,0.0060,99.92,0.0046,99.83
24,0.0053,99.96,0.0047,99.83
25,0.0042,99.96,0.0042,99.83
26,0.0050,99.96,0.0060,99.83
27,0.0040,99.96,0.0039,99.83
28,0.0041,99.96,0.0065,99.83
29,0.0038,99.96,0.0033,99.83
30,0.0045,99.92,0.0047,99.83
31,0.0032,99.96,0.0046,99.83
32,0.0041,99.92,0.0043,99.83
33,0.0033,99.96,0.0035,99.83
34,0.0023,100.00,0.0068,99.83
35,0.0031,99.96,0.0061,99.83
36,0.0033,99.96,0.0046,99.83
37,0.0038,99.96,0.0045,99.83
38,0.0026,100.00,0.0055,99.83
39,0.0042,99.96,0.0037,99.83
40,0.0030,99.96,0.0061,99.83
41,0.0033,99.96,0.0044,99.83
42,0.0031,99.96,0.0031,99.83
43,0.0022,100.00,0.0046,99.83
44,0.0025,99.96,0.0029,99.83
45,0.0033,99.96,0.0043,99.83
46,0.0033,99.96,0.0045,99.83
47,0.0025,99.96,0.0050,99.83
48,0.0021,100.00,0.0060,99.83
49,0.0027,99.96,0.0033,99.83
50,0.0030,99.92,0.0045,99.83
51,0.0037,99.96,0.0045,99.83
52,0.0024,99.96,0.0047,99.83
53,0.0032,99.96,0.0037,99.83
54,0.0024,100.00,0.0052,99.83
55,0.0028,99.96,0.0036,99.83
56,0.0025,99.96,0.0050,99.83
57,0.0022,100.00,0.0033,99.83
58,0.0025,99.96,0.0036,99.83
59,0.0022,100.00,0.0052,99.83
60,0.0031,99.96,0.0041,99.83
61,0.0029,99.96,0.0048,99.83
62,0.0029,99.96,0.0056,99.83
63,0.0030,99.96,0.0035,99.83
64,0.0023,100.00,0.0034,99.83
65,0.0030,99.96,0.0053,99.83
66,0.0028,99.96,0.0035,99.83
67,0.0027,100.00,0.0048,99.83
68,0.0029,99.96,0.0039,99.83
69,0.0029,99.96,0.0058,99.83
70,0.0024,99.96,0.0061,99.83
71,0.0024,99.96,0.0051,99.83
72,0.0026,99.96,0.0044,99.83
73,0.0025,99.96,0.0044,99.83
74,0.0025,99.96,0.0040,99.83
75,0.0023,100.00,0.0042,99.83
76,0.0025,99.96,0.0042,99.83
77,0.0025,99.96,0.0055,99.83
78,0.0024,99.96,0.0045,99.83
79,0.0023,100.00,0.0036,99.83
80,0.0022,100.00,0.0036,99.83
81,0.0021,100.00,0.0043,99.83
82,0.0024,99.96,0.0037,99.83
83,0.0036,99.96,0.0043,99.83
84,0.0030,99.96,0.0045,99.83
85,0.0020,100.00,0.0041,99.83
86,0.0028,99.96,0.0047,99.83
87,0.0024,99.96,0.0036,99.83
88,0.0023,99.96,0.0039,99.83
89,0.0022,100.00,0.0041,99.83
90,0.0023,100.00,0.0049,99.83
91,0.0022,100.00,0.0049,99.83
92,0.0024,100.00,0.0034,99.83
93,0.0025,99.96,0.0030,99.83
94,0.0024,99.96,0.0041,99.83
95,0.0024,99.96,0.0058,99.83
96,0.0023,100.00,0.0049,99.83
97,0.0023,99.96,0.0030,99.83
98,0.0029,99.96,0.0044,99.83
99,0.0031,99.96,0.0046,99.83
100,0.0037,99.92,0.0045,99.83
