epoch,train_loss,train_acc,val_loss,val_acc,reconstruction_loss
1,1.9193,31.14,1.7065,61.36,0.7134
2,1.2337,75.60,1.1052,84.41,0.4873
3,0.6748,87.07,0.4815,88.14,0.4520
4,0.4509,90.21,0.3944,88.47,0.4290
5,0.3876,90.67,0.3678,91.19,0.4149
6,0.3077,92.63,0.3213,90.85,0.4067
7,0.2971,93.22,0.3046,92.03,0.4027
8,0.2333,94.18,0.2847,93.22,0.3953
9,0.1999,94.73,0.2775,91.86,0.3910
10,0.2019,95.06,0.2747,92.54,0.3871
11,0.1877,96.02,0.2972,92.37,0.3830
12,0.1838,95.14,0.2546,92.20,0.3807
13,0.1541,95.69,0.2431,94.92,0.3779
14,0.1592,95.60,0.2888,92.37,0.3774
15,0.1472,95.65,0.2238,93.90,0.3751
16,0.1116,96.82,0.3126,92.20,0.3734
17,0.1267,96.53,0.2681,93.56,0.3707
18,0.1087,97.03,0.2864,93.39,0.3701
19,0.0962,97.78,0.2209,94.58,0.3678
20,0.0662,97.99,0.1993,95.93,0.3646
21,0.0673,98.33,0.2337,94.58,0.3638
22,0.0388,98.91,0.2528,95.25,0.3614
23,0.0445,98.83,0.2544,95.59,0.3600
24,0.0478,98.79,0.2482,95.93,0.3603
25,0.0441,98.91,0.2790,94.92,0.3578
26,0.0321,99.25,0.2229,95.93,0.3577
27,0.0267,99.25,0.2410,96.10,0.3566
28,0.0318,99.20,0.2434,96.10,0.3564
29,0.0257,99.41,0.2420,95.59,0.3559
30,0.0632,99.12,0.2440,96.10,0.3544
31,0.0219,99.33,0.2516,95.59,0.3543
32,0.0196,99.50,0.2614,95.25,0.3542
33,0.0164,99.50,0.2518,96.44,0.3537
34,0.0201,99.41,0.2692,95.76,0.3532
35,0.0154,99.67,0.2517,96.10,0.3531
36,0.0241,99.50,0.2962,95.08,0.3524
37,0.0211,99.54,0.2740,95.08,0.3520
38,0.0109,99.58,0.2819,96.10,0.3521
39,0.0197,99.29,0.2753,96.10,0.3511
40,0.0091,99.79,0.2783,96.27,0.3512
41,0.1062,99.20,0.2971,96.27,0.3506
42,0.0083,99.83,0.3003,96.10,0.3502
43,0.0221,99.54,0.2900,95.93,0.3507
44,0.0085,99.71,0.2997,95.59,0.3502
45,0.0066,99.87,0.3184,95.42,0.3500
46,0.0086,99.79,0.3008,95.76,0.3502
47,0.0086,99.75,0.3041,95.76,0.3494
48,0.0127,99.92,0.3197,95.76,0.3494
49,0.0114,99.83,0.3252,95.25,0.3494
50,0.0047,99.92,0.3239,95.08,0.3491
51,0.0047,99.87,0.3189,95.59,0.3495
52,0.0042,99.87,0.2914,96.10,0.3487
53,0.0050,99.87,0.3108,95.59,0.3489
54,0.0095,99.83,0.3150,95.59,0.3487
55,0.0076,99.75,0.3010,95.76,0.3489
56,0.0572,99.79,0.3189,95.76,0.3490
57,0.0111,99.83,0.3353,95.93,0.3488
58,0.0118,99.79,0.3176,95.93,0.3493
59,0.0053,99.79,0.3080,95.76,0.3491
60,0.0042,99.87,0.3028,96.27,0.3489
61,0.0036,99.96,0.3027,96.27,0.3486
62,0.0072,99.83,0.3074,95.93,0.3490
63,0.0028,100.00,0.3093,96.10,0.3485
64,0.0063,99.92,0.3062,96.10,0.3486
65,0.0077,99.87,0.3100,96.10,0.3483
66,0.0030,100.00,0.3107,96.27,0.3486
67,0.0035,99.96,0.3162,95.93,0.3485
68,0.0039,99.92,0.3091,95.76,0.3488
69,0.0057,99.83,0.3068,95.93,0.3483
70,0.0083,99.83,0.3061,96.27,0.3488
71,0.0033,100.00,0.3136,95.59,0.3488
72,0.0034,99.96,0.3043,96.27,0.3484
73,0.0049,99.92,0.2972,95.93,0.3485
74,0.0026,99.96,0.3022,96.27,0.3482
75,0.0042,99.92,0.3153,95.76,0.3481
76,0.0074,99.92,0.3176,96.27,0.3481
77,0.0076,99.92,0.3191,96.27,0.3481
78,0.0035,99.96,0.3015,96.10,0.3477
79,0.0028,100.00,0.2958,95.76,0.3485
80,0.0041,99.92,0.3006,96.10,0.3493
81,0.0599,99.67,0.3101,96.27,0.3480
82,0.0044,99.83,0.3102,95.42,0.3485
83,0.0041,99.96,0.3077,96.27,0.3489
84,0.0078,99.83,0.3097,96.27,0.3482
85,0.0054,99.96,0.3052,96.27,0.3487
86,0.0044,99.87,0.2989,96.27,0.3489
87,0.0055,99.96,0.3099,96.10,0.3481
88,0.0053,99.79,0.3003,95.76,0.3489
89,0.0033,99.92,0.3002,95.76,0.3484
90,0.0115,99.83,0.3186,96.27,0.3482
91,0.0060,99.92,0.2998,95.25,0.3486
92,0.0037,99.92,0.3044,95.93,0.3487
93,0.0088,99.83,0.3101,95.08,0.3485
94,0.0039,99.92,0.3070,95.59,0.3484
95,0.0028,100.00,0.3043,96.10,0.3484
96,0.0056,99.92,0.3061,95.59,0.3484
97,0.0112,99.75,0.3093,95.93,0.3479
98,0.0061,99.87,0.2987,96.10,0.3483
99,0.0026,100.00,0.3037,96.10,0.3486
100,0.0027,100.00,0.3098,96.27,0.3490
