epoch,train_loss,train_acc,val_loss,val_acc
1,1.9054,52.32,1.5275,57.63
2,1.0875,71.49,0.9275,71.19
3,0.8846,74.51,0.7441,74.41
4,0.7350,75.97,0.7130,75.25
5,0.6610,77.15,0.7007,76.27
6,0.5878,80.66,0.6312,78.98
7,0.5255,81.62,0.6529,79.32
8,0.4269,85.14,0.6260,80.00
9,0.4103,85.56,0.6198,78.64
10,0.3777,86.77,0.6044,80.85
11,0.3215,89.41,0.6532,79.15
12,0.3174,89.03,0.5831,82.88
13,0.2425,91.75,0.5933,80.51
14,0.1905,93.60,0.6391,81.19
15,0.1858,94.01,0.7186,80.85
16,0.1540,95.23,0.7804,80.85
17,0.1447,95.35,0.7635,80.17
18,0.1146,96.74,0.7437,81.19
19,0.0620,97.91,0.7306,82.03
20,0.0516,98.53,0.7731,82.20
21,0.0459,98.58,0.8116,82.03
22,0.0340,99.12,0.7356,81.19
23,0.0284,99.33,0.8360,80.85
24,0.0282,99.33,0.8159,81.53
25,0.0224,99.58,0.8148,82.71
26,0.0199,99.50,0.7990,83.22
27,0.0158,99.67,0.8247,82.37
28,0.0118,99.96,0.8224,81.69
29,0.0142,99.71,0.8523,81.53
30,0.0112,99.92,0.8412,81.86
31,0.0114,99.87,0.8312,81.53
32,0.0076,99.96,0.8242,80.85
33,0.0069,99.87,0.8385,81.19
34,0.0104,99.79,0.8599,81.36
35,0.0059,100.00,0.8612,81.19
36,0.0073,99.96,0.8634,81.86
37,0.0066,99.96,0.8583,82.20
38,0.0093,99.83,0.8572,81.69
39,0.0066,99.92,0.8493,81.69
40,0.0093,99.83,0.8614,82.20
41,0.0056,99.96,0.8611,81.86
42,0.0049,99.92,0.8583,81.36
43,0.0046,100.00,0.8587,81.36
44,0.0040,100.00,0.8673,81.69
45,0.0085,99.87,0.8693,81.69
46,0.0047,100.00,0.8703,80.85
47,0.0059,99.96,0.8651,81.53
48,0.0050,99.87,0.8805,82.20
49,0.0057,99.96,0.8627,81.36
50,0.0053,100.00,0.8737,81.19
51,0.0088,99.87,0.8585,81.69
52,0.0058,99.87,0.8770,81.86
53,0.0057,99.92,0.8645,81.69
54,0.0055,99.92,0.8623,81.86
55,0.0066,99.92,0.8695,81.19
56,0.0059,99.96,0.8689,82.03
57,0.0048,99.92,0.8848,81.69
58,0.0072,99.87,0.8885,81.53
59,0.0079,99.83,0.8799,82.03
60,0.0036,100.00,0.8587,82.03
61,0.0044,100.00,0.8603,82.03
62,0.0124,99.83,0.8654,81.36
63,0.0044,100.00,0.8712,81.36
64,0.0056,99.87,0.8686,81.69
65,0.0070,99.92,0.8815,81.86
66,0.0049,99.96,0.8739,81.69
67,0.0061,99.92,0.8765,81.86
68,0.0041,100.00,0.8742,82.37
69,0.0044,100.00,0.8617,81.53
70,0.0099,99.87,0.8715,82.20
71,0.0100,99.87,0.8774,82.03
72,0.0041,100.00,0.8685,81.36
73,0.0065,99.92,0.8683,81.53
74,0.0066,99.87,0.8723,81.53
75,0.0076,99.87,0.8596,82.37
76,0.0054,99.92,0.8652,82.20
77,0.0039,100.00,0.8712,81.53
78,0.0047,99.96,0.8720,81.36
79,0.0035,100.00,0.8651,81.69
80,0.0047,100.00,0.8776,81.86
81,0.0043,100.00,0.8645,81.69
82,0.0043,100.00,0.8692,81.69
83,0.0055,99.92,0.8721,81.86
84,0.0053,99.87,0.8722,81.69
85,0.0045,99.92,0.8620,81.69
86,0.0045,100.00,0.8872,82.03
87,0.0121,99.87,0.8758,82.20
88,0.0058,99.87,0.8878,82.37
89,0.0074,99.87,0.8715,81.53
90,0.0039,99.96,0.8683,81.69
91,0.0041,100.00,0.8668,81.53
92,0.0043,99.92,0.8658,82.03
93,0.0049,99.96,0.8702,82.03
94,0.0066,99.96,0.8762,81.86
95,0.0060,99.92,0.8642,82.03
96,0.0031,100.00,0.8735,81.69
97,0.0039,100.00,0.8757,82.03
98,0.0062,99.96,0.8868,81.69
99,0.0044,100.00,0.8706,82.20
100,0.0040,100.00,0.8885,82.37
