epoch,train_loss,train_acc,val_loss,val_acc
1,1.1904,68.94,0.4871,90.00
2,0.3701,94.56,0.1850,95.59
3,0.2288,95.94,0.1723,95.93
4,0.1317,96.74,0.1371,95.76
5,0.1129,96.78,0.0828,96.78
6,0.0912,97.40,0.0769,96.78
7,0.0701,98.12,0.1450,95.93
8,0.0567,98.41,0.1102,96.95
9,0.0614,98.20,0.0763,97.29
10,0.0550,98.58,0.1108,95.93
11,0.0427,98.58,0.0912,97.46
12,0.0254,99.33,0.0358,98.64
13,0.0227,99.29,0.0768,97.63
14,0.0219,99.29,0.0573,98.64
15,0.0216,99.41,0.1144,97.97
16,0.0139,99.67,0.0660,97.97
17,0.0104,99.75,0.0622,98.14
18,0.0168,99.62,0.0862,97.97
19,0.0146,99.62,0.0559,98.64
20,0.0118,99.54,0.0533,98.64
21,0.0037,99.87,0.0571,98.31
22,0.0022,100.00,0.0600,98.31
23,0.0742,99.79,0.0708,97.46
24,0.0031,99.92,0.0596,97.80
25,0.0034,99.96,0.0576,98.47
26,0.0044,99.92,0.0486,98.47
27,0.0111,99.83,0.0490,98.47
28,0.0016,99.96,0.0482,98.98
29,0.0244,99.87,0.0530,98.31
30,0.0013,100.00,0.0614,98.47
31,0.0009,100.00,0.0649,98.14
32,0.0010,100.00,0.0592,98.47
33,0.0009,100.00,0.0581,98.47
34,0.0012,100.00,0.0592,98.47
35,0.0023,99.96,0.0603,98.31
36,0.0031,99.92,0.0548,98.64
37,0.0012,100.00,0.0511,98.64
38,0.0075,99.92,0.0511,98.64
39,0.0011,100.00,0.0540,98.47
40,0.0012,100.00,0.0572,98.64
41,0.0464,99.87,0.0525,98.64
42,0.0014,99.96,0.0644,98.47
43,0.0051,99.96,0.0611,98.47
44,0.0019,99.96,0.0593,98.64
45,0.0008,100.00,0.0660,98.31
46,0.0007,100.00,0.0617,98.64
47,0.0007,100.00,0.0696,98.31
48,0.0012,100.00,0.0663,98.31
49,0.0025,99.96,0.0610,98.64
50,0.0008,100.00,0.0747,98.31
51,0.0008,100.00,0.0681,98.14
52,0.0009,100.00,0.0707,98.31
53,0.0010,100.00,0.0649,98.47
54,0.0011,100.00,0.0706,98.14
55,0.0008,100.00,0.0649,98.14
56,0.0010,99.96,0.0635,98.31
57,0.0376,99.92,0.0606,98.64
58,0.0007,100.00,0.0686,98.31
59,0.0011,100.00,0.0685,98.31
60,0.0014,99.96,0.0649,98.14
61,0.0060,99.96,0.0639,98.47
62,0.0013,99.96,0.0653,98.47
63,0.0007,100.00,0.0665,98.14
64,0.0009,100.00,0.0686,98.31
65,0.0008,100.00,0.0635,98.31
66,0.0116,99.79,0.0703,98.31
67,0.0009,100.00,0.0707,98.31
68,0.0007,100.00,0.0614,98.64
69,0.0008,100.00,0.0656,98.31
70,0.0011,99.96,0.0663,98.31
71,0.0008,100.00,0.0630,98.14
72,0.0081,99.96,0.0645,98.47
73,0.0009,100.00,0.0661,98.31
74,0.0008,100.00,0.0680,98.31
75,0.0007,100.00,0.0728,98.31
76,0.0033,99.96,0.0724,98.31
77,0.0212,99.96,0.0680,98.31
78,0.0011,100.00,0.0676,98.14
79,0.0008,100.00,0.0699,98.31
80,0.0118,99.92,0.0703,98.31
81,0.0007,100.00,0.0703,98.31
82,0.0082,99.92,0.0631,98.47
83,0.0007,100.00,0.0682,98.31
84,0.0011,100.00,0.0676,98.14
85,0.0006,100.00,0.0757,98.31
86,0.0011,100.00,0.0652,98.31
87,0.0015,100.00,0.0644,98.31
88,0.0008,100.00,0.0677,98.31
89,0.0008,100.00,0.0700,98.31
90,0.0007,100.00,0.0690,98.31
91,0.0007,100.00,0.0641,98.31
92,0.0012,100.00,0.0721,98.31
93,0.0013,100.00,0.0675,98.31
94,0.0007,100.00,0.0732,98.31
95,0.0020,99.96,0.0667,98.31
96,0.0007,100.00,0.0717,98.31
97,0.0026,99.96,0.0621,98.14
98,0.0009,100.00,0.0652,98.31
99,0.0010,100.00,0.0702,98.47
100,0.0010,100.00,0.0675,98.14
