stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
1,-0.125,2.114,-0.057,0.049,1.374,0,0.646,-0.437,-0.147,0.482,0.635,-0.071,1.751,1.072,0.829,2.165,0.251,1.013,0.474,1.198,-0.659,0.147,-0.216,-0.17,0.909,-0.126,0.932,0.643,-0.129
2,-0.187,2.334,0.044,0.363,1.283,-0.085,1.122,-0.258,0,0.473,0.546,0.129,1.577,1.05,0.81,1.955,0.361,0.966,0.34,1.18,-0.431,0.271,-0.274,-0.103,0.855,0.125,0.878,0.309,-0.037
3,-0.339,2.087,0.27,0.227,1.456,-0.064,1.006,-0.389,0,0.328,0.313,0.2,1.721,0.865,0.764,1.733,0.064,0.51,0.312,0.788,-0.466,0.287,-0.323,-0.294,0.628,0.036,0.903,0.362,-0.026
4,-0.388,2.051,0.217,0.197,1.611,-0.016,0.979,-0.457,0,0.517,0.064,-0.011,1.477,0.954,0.623,1.773,0.481,0.715,0.454,0.948,-0.314,0.081,-0.25,-0.206,0.719,0.162,0.635,0.419,-0.12
5,-0.385,2.115,0.335,-0.001,1.558,0.022,1.559,-0.558,-0.043,0,0.281,0.242,1.937,0.736,0.769,1.455,0.172,0.851,0.366,0.859,-0.501,0.2,-0.305,-0.219,0.537,0.304,0.79,0.43,-0.108
6,-0.013,2.448,0.43,0.195,1.716,-0.109,1.601,-0.513,0,0.409,0.142,0.343,2.755,0.855,0.809,1.828,0.179,1.318,0.39,0.913,-0.53,0.066,-0.242,-0.213,0.695,0.337,1.099,0.323,-0.158
7,0.112,2.04,0.209,-0.037,1.38,0,1.367,-0.285,-0.138,0.275,0.51,0.496,2.439,0.717,0.69,1.802,0.316,1.332,0.405,0.705,-0.437,-0.013,-0.218,-0.082,0.573,0.161,0.638,0.121,-0.221
8,0.186,2.101,0.281,-0.033,1.603,0,1.511,-0.197,-0.063,0.343,0.017,0.116,2.518,0.388,0.639,1.102,0.223,1.515,0.339,0.74,-0.53,0.07,-0.265,-0.414,0.501,0.389,0.722,0.084,-0.159
9,0.479,2.103,0.388,-0.155,1.909,0,1.701,-0.256,-0.055,0.191,-0.078,0.22,2.987,0.839,0.941,1.473,0.128,1.524,0.428,0.603,-0.624,0.054,-0.467,-0.095,0.53,0.292,0.532,0.283,-0.136
10,0.495,1.915,0.438,-0.053,1.956,0,1.856,-0.169,-0.125,0.373,0.305,0.484,2.983,0.552,0.915,1.139,0.005,1.974,0.403,0.81,-0.59,0.055,-0.464,-0.056,0.582,0.141,0.712,0.306,-0.095
11,0.632,1.855,0.418,0.031,1.506,-0.07,1.637,-0.128,0,0.267,0.049,0.818,3.431,0.351,0.893,1.27,0.057,1.71,0.488,0.877,-0.606,0.083,-0.435,-0.16,0.498,0.183,0.427,0.171,-0.101
12,0.795,1.891,0.444,0.002,1.981,-0.176,2.194,-0.313,0,0.279,0.053,0.247,3.21,0.976,0.77,1.36,0.382,2.251,0.377,1.046,-0.531,-0.087,-0.295,0.031,0.496,0.474,0.718,0.239,-0.048
13,0.815,1.512,0.214,-0.182,1.491,0,1.881,-0.198,-0.217,0.196,-0.165,0.358,2.553,0.584,0.313,0.976,-0.003,2.044,0.105,0.725,-0.625,-0.121,-0.354,-0.155,0.231,0.2,0.523,0.026,-0.219
