graph_id,feat,label
1,"1,0,0,0,0,0",0
2,"1,0,0,0,0,0",0
3,"1,0,0,0,0,0",2
4,"1,0,0,0,0,0",2
5,"1,0,0,0,0,0",2
6,"1,0,0,0,0,0",4
7,"1,0,0,0,0,0",5
8,"1,0,0,0,0,0",2
9,"1,0,0,0,0,0",0
10,"1,0,0,0,0,0",3
11,"1,0,0,0,0,0",1
12,"1,0,0,0,0,0",5
13,"1,0,0,0,0,0",2
14,"1,0,0,0,0,0",4
15,"1,0,0,0,0,0",2
16,"1,0,0,0,0,0",5
17,"1,0,0,0,0,0",4
18,"1,0,0,0,0,0",0
19,"1,0,0,0,0,0",3
20,"1,0,0,0,0,0",3
21,"1,0,0,0,0,0",3
22,"1,0,0,0,0,0",0
23,"1,0,0,0,0,0",5
24,"1,0,0,0,0,0",0
25,"1,0,0,0,0,0",4
26,"1,0,0,0,0,0",3
27,"1,0,0,0,0,0",0
28,"1,0,0,0,0,0",5
29,"1,0,0,0,0,0",5
30,"1,0,0,0,0,0",3
31,"1,0,0,0,0,0",2
32,"1,0,0,0,0,0",5
33,"1,0,0,0,0,0",0
34,"1,0,0,0,0,0",4
35,"1,0,0,0,0,0",0
36,"1,0,0,0,0,0",1
37,"1,0,0,0,0,0",4
38,"1,0,0,0,0,0",1
39,"1,0,0,0,0,0",1
40,"1,0,0,0,0,0",4
41,"1,0,0,0,0,0",5
42,"1,0,0,0,0,0",2
43,"1,0,0,0,0,0",5
44,"1,0,0,0,0,0",0
45,"1,0,0,0,0,0",3
46,"1,0,0,0,0,0",1
47,"1,0,0,0,0,0",4
48,"1,0,0,0,0,0",0
49,"1,0,0,0,0,0",3
50,"1,0,0,0,0,0",1
51,"1,0,0,0,0,0",5
52,"1,0,0,0,0,0",4
53,"1,0,0,0,0,0",5
54,"1,0,0,0,0,0",4
55,"1,0,0,0,0,0",5
56,"1,0,0,0,0,0",5
57,"1,0,0,0,0,0",2
58,"1,0,0,0,0,0",5
59,"1,0,0,0,0,0",1
60,"1,0,0,0,0,0",3
61,"1,0,0,0,0,0",2
62,"1,0,0,0,0,0",3
