graph_id,node_id,feat
1,1,"-1.316576907337136,-0.9560094505138629,0.3166435453737514"
1,2,"-0.5712110177754837,-1.316576907337136,-0.9560094505138629"
1,3,"-1.0002573195761695,-0.5712110177754837,-1.316576907337136"
1,4,"-0.2677970584910225,-1.0002573195761695,-0.5712110177754837"
1,5,"0.1536112182929449,-0.2677970584910225,-1.0002573195761695"
1,6,"-1.8551893611016654,0.1536112182929449,-0.2677970584910225"
1,7,"-0.06868164771060158,-1.8551893611016654,0.1536112182929449"
1,8,"-1.6365838175199683,-0.06868164771060158,-1.8551893611016654"
1,9,"-0.733453204337313,-1.6365838175199683,-0.06868164771060158"
1,10,"-1.481452895628867,-0.733453204337313,-1.6365838175199683"
1,11,"-0.6523321110563983,-1.481452895628867,-0.733453204337313"
1,12,"0.7180349290104853,-0.6523321110563983,-1.481452895628867"
1,13,"-0.6360025403310305,0.7180349290104853,-0.6523321110563983"
1,14,"-0.43767727006957025,-0.6360025403310305,0.7180349290104853"
1,15,"0.30479143758919347,-0.43767727006957025,-0.6360025403310305"
1,16,"0.7322574583519416,0.30479143758919347,-0.43767727006957025"
1,17,"0.9603446881612653,0.7322574583519416,0.30479143758919347"
1,18,"0.0019042386507225914,0.9603446881612653,0.7322574583519416"
1,19,"-0.8016686691417223,0.0019042386507225914,0.9603446881612653"
1,20,"-0.35155195350183893,-0.8016686691417223,0.0019042386507225914"
1,21,"1.4357459004081856,-0.35155195350183893,-0.8016686691417223"
1,22,"0.34271818249974906,1.4357459004081856,-0.35155195350183893"
1,23,"-1.1914713251669016,0.34271818249974906,1.4357459004081856"
1,24,"1.8379274245638966,-1.1914713251669016,0.34271818249974906"
1,25,"-1.6579176115321692,1.8379274245638966,-1.1914713251669016"
1,26,"0.19390838476041536,-1.6579176115321692,1.8379274245638966"
1,27,"0.0598478767085117,0.19390838476041536,-1.6579176115321692"
1,28,"0.5528955605457673,0.0598478767085117,0.19390838476041536"
1,29,"0.3311294548881945,0.5528955605457673,0.0598478767085117"
1,30,"-0.01784927432352407,0.3311294548881945,0.5528955605457673"
1,31,"0.6290124305398653,-0.01784927432352407,0.3311294548881945"
1,32,"0.5312983863605795,0.6290124305398653,-0.01784927432352407"
1,33,"2.197441360695222,0.5312983863605795,0.6290124305398653"
1,34,"0.2771365194252581,2.197441360695222,0.5312983863605795"
1,35,"-0.2346111566942967,0.2771365194252581,2.197441360695222"
1,36,"-1.3431783048091404,-0.2346111566942967,0.2771365194252581"
1,37,"-0.4071251700027297,-1.3431783048091404,-0.2346111566942967"
1,38,"1.8537302349432907,-0.4071251700027297,-1.3431783048091404"
1,39,"-0.985244649715736,1.8537302349432907,-0.4071251700027297"
1,40,"-1.6128796019508689,-0.985244649715736,1.8537302349432907"
1,41,"0.37432380325855363,-1.6128796019508689,-0.985244649715736"
