graph_id,node_id,feat
1,1,"-1.3862287215127496,-1.8257999405686722,-1.982619943042677"
1,2,"-1.9160902450234023,-1.9065860024492203,-2.146568127447319"
1,3,"-1.7069969083913956,-1.7521420606187608,-1.9707396398249497"
1,4,"-1.8257999405686722,-1.982619943042677,-1.8257999405686722"
1,5,"-1.9065860024492203,-2.146568127447319,-2.0206369133394055"
1,6,"-1.7521420606187608,-1.9707396398249497,-1.5454247846302995"
1,7,"-1.982619943042677,-1.8257999405686722,-1.2911862957709281"
1,8,"-2.146568127447319,-2.0206369133394055,-1.6832363019559404"
1,9,"-1.9707396398249497,-1.5454247846302995,-1.621458725223757"
1,10,"-1.8257999405686722,-1.2911862957709281,-1.7521420606187608"
1,11,"-2.0206369133394055,-1.6832363019559404,-1.8091675160638534"
1,12,"-1.5454247846302995,-1.621458725223757,-1.421869631165932"
1,13,"-1.2911862957709281,-1.7521420606187608,-1.3719723576514762"
1,14,"-1.6832363019559404,-1.8091675160638534,-1.4123653885917502"
1,15,"-1.621458725223757,-1.421869631165932,-1.8543126682912185"
1,16,"-1.7521420606187608,-1.3719723576514762,-1.5525529665609363"
1,17,"-1.8091675160638534,-1.4123653885917502,-1.4860232685416614"
1,18,"-1.421869631165932,-1.8543126682912185,-1.6642278168075764"
1,19,"-1.3719723576514762,-1.5525529665609363,-1.4765190259674794"
1,20,"-1.4123653885917502,-1.4860232685416614,-1.5382966026996632"
1,21,"-1.8543126682912185,-1.6642278168075764,-1.6879884232430313"
1,22,"-1.5525529665609363,-1.4765190259674794,-1.9731157004684947"
1,23,"-1.4860232685416614,-1.5382966026996632,-1.165255081663015"
1,24,"-1.6642278168075764,-1.6879884232430313,-0.9062644715165524"
1,25,"-1.4765190259674794,-1.9731157004684947,-1.1034775049308312"
1,26,"-1.5382966026996632,-1.165255081663015,-1.1272381113662866"
1,27,"-1.6879884232430313,-0.9062644715165524,-1.181887506167834"
1,28,"-1.9731157004684947,-1.1034775049308312,-1.003682957901919"
1,29,"-1.165255081663015,-1.1272381113662866,-1.129614172009832"
1,30,"-0.9062644715165524,-1.181887506167834,-0.9276490173084622"
1,31,"-1.1034775049308312,-1.003682957901919,-0.9276490173084622"
1,32,"-1.1272381113662866,-1.129614172009832,-0.9038884108730068"
1,33,"-1.181887506167834,-0.9276490173084622,-0.9894265940406459"
1,34,"-1.003682957901919,-0.9276490173084622,-1.1343662932969232"
1,35,"-1.129614172009832,-0.9038884108730068,-1.3220750841370201"
1,36,"-0.9276490173084622,-0.9894265940406459,-1.2317847796822898"
1,37,"-0.9276490173084622,-1.1343662932969232,-1.3030665989886556"
1,38,"-0.9038884108730068,-1.3220750841370201,-1.1937678093855615"
1,39,"-0.9894265940406459,-1.2317847796822898,-1.3410835692853844"
1,40,"-1.1343662932969232,-1.3030665989886556,-1.4099893279482045"
1,41,"-1.3220750841370201,-1.1937678093855615,-1.417117509878841"
1,42,"-1.2317847796822898,-1.3410835692853844,-1.1842635668113792"
1,43,"-1.3030665989886556,-1.4099893279482045,-1.514535996264208"
1,44,"-1.1937678093855615,-1.417117509878841,-1.2626735680483816"
1,45,"-1.3410835692853844,-1.1842635668113792,-1.317322962849929"
1,46,"-1.4099893279482045,-1.514535996264208,-1.5549290272044818"
1,47,"-1.417117509878841,-1.2626735680483816,-1.4955275111158437"
1,48,"-1.1842635668113792,-1.317322962849929,-1.4765190259674794"
1,49,"-1.514535996264208,-1.5549290272044818,-1.2793059925532007"
1,50,"-1.2626735680483816,-1.4955275111158437,-1.4860232685416614"
1,51,"-1.317322962849929,-1.4765190259674794,-1.0987253836437403"
1,52,"-1.5549290272044818,-1.2793059925532007,-1.3600920544337487"
1,53,"-1.4955275111158437,-1.4860232685416614,-1.357715993790203"
1,54,"-1.4765190259674794,-1.0987253836437403,-1.4812711472545705"
1,55,"-1.2793059925532007,-1.3600920544337487,-1.6309629677979387"
1,56,"-1.4860232685416614,-1.357715993790203,-1.5406726633432086"
1,57,"-1.0987253836437403,-1.4812711472545705,-1.4099893279482045"
1,58,"-1.3600920544337487,-1.6309629677979387,-1.5644332697786638"
1,59,"-1.357715993790203,-1.5406726633432086,-1.438502055670751"
1,60,"-1.4812711472545705,-1.4099893279482045,-1.7426378180445787"
1,61,"-1.6309629677979387,-1.5644332697786638,-1.6333390284414844"
1,62,"-1.5406726633432086,-1.438502055670751,-1.1890156880984704"
1,63,"-1.4099893279482045,-1.7426378180445787,-0.2599759764721684"
1,64,"-1.5644332697786638,-1.6333390284414844,0.20097978837566435"
1,65,"-1.438502055670751,-1.1890156880984704,0.5027394901059464"
1,66,"-1.7426378180445787,-0.2599759764721684,0.4766028230269458"
1,67,"-1.6333390284414844,0.20097978837566435,-0.14354900493843747"
1,68,"-1.1890156880984704,0.5027394901059464,-0.15542930815616515"
1,69,"-0.2599759764721684,0.4766028230269458,-0.09365173142398135"
1,70,"0.20097978837566435,-0.14354900493843747,0.039407664614568294"
1,71,"0.5027394901059464,-0.15542930815616515,-0.20532658167062115"
1,72,"0.4766028230269458,-0.09365173142398135,-0.48570173760899366"
1,73,"-0.14354900493843747,0.039407664614568294,0.2841419108997578"
1,74,"-0.15542930815616515,-0.20532658167062115,0.7522258576782274"
1,75,"-0.09365173142398135,-0.48570173760899366,0.7427216151040451"
1,76,"0.039407664614568294,0.2841419108997578,0.8258837376281386"
1,77,"-0.20532658167062115,0.7522258576782274,0.6738158564412247"
1,78,"-0.48570173760899366,0.7427216151040451,0.5526367636204026"
1,79,"0.2841419108997578,0.8258837376281386,0.849644344063594"
1,80,"0.7522258576782274,0.6738158564412247,1.3581213217823371"
1,81,"0.7427216151040451,0.5526367636204026,0.8377640408458662"
1,82,"0.8258837376281386,0.849644344063594,0.42670554951248973"
1,83,"0.6738158564412247,1.3581213217823371,0.6144143403525864"
1,84,"0.5526367636204026,0.8377640408458662,0.6904482809460436"
1,85,"0.849644344063594,0.42670554951248973,0.7949949492620465"
1,86,"1.3581213217823371,0.6144143403525864,0.5692691881252213"
1,87,"0.8377640408458662,0.6904482809460436,0.8971655569345045"
1,88,"0.42670554951248973,0.7949949492620465,0.773610403470137"
1,89,"0.6144143403525864,0.5692691881252213,1.1181391967842387"
1,90,"0.6904482809460436,0.8971655569345045,0.7522258576782274"
1,91,"0.7949949492620465,0.773610403470137,-0.027122033404706602"
1,92,"0.5692691881252213,1.1181391967842387,0.5668931274816758"
1,93,"0.8971655569345045,0.7522258576782274,0.8876613143603224"
1,94,"0.773610403470137,-0.027122033404706602,0.29364615347393996"
1,95,"1.1181391967842387,0.5668931274816758,0.7379694938169541"
1,96,"0.7522258576782274,0.8876613143603224,0.5312522178284927"
1,97,"-0.027122033404706602,0.29364615347393996,0.5431325210462205"
1,98,"0.5668931274816758,0.7379694938169541,0.4742267623834003"
1,99,"0.8876613143603224,0.5312522178284927,0.14395433293057153"
1,100,"0.29364615347393996,0.5431325210462205,0.029903422040386207"
1,101,"0.7379694938169541,0.4742267623834003,0.3791843366415791"
1,102,"0.5312522178284927,0.14395433293057153,0.5740213094123123"
1,103,"0.5431325210462205,0.029903422040386207,0.32453494184003184"
1,104,"0.4742267623834003,0.3791843366415791,0.19147554580148218"
1,105,"0.14395433293057153,0.5740213094123123,0.9636952549537794"
1,106,"0.029903422040386207,0.32453494184003184,0.8211316163410476"
1,107,"0.3791843366415791,0.19147554580148218,0.768858282183046"
1,108,"0.5740213094123123,0.9636952549537794,0.6952004022331346"
1,109,"0.32453494184003184,0.8211316163410476,1.1609082883680584"
1,110,"0.19147554580148218,0.768858282183046,1.2749591992582436"
1,111,"0.9636952549537794,0.6952004022331346,0.9423107091618693"
1,112,"0.8211316163410476,1.1609082883680584,1.115763136140693"
1,113,"0.768858282183046,1.2749591992582436,1.4008904133661566"
1,114,"0.6952004022331346,0.9423107091618693,1.006464346537599"
1,115,"1.1609082883680584,1.115763136140693,1.3367367759904278"
1,116,"1.2749591992582436,1.4008904133661566,1.5434540519788882"
1,117,"0.9423107091618693,1.006464346537599,1.7002740544528931"
1,118,"1.115763136140693,1.3367367759904278,2.0044098168267213"
1,119,"1.4008904133661566,1.5434540519788882,1.6432485990078005"
1,120,"1.006464346537599,1.7002740544528931,1.1395237425761484"
1,121,"1.3367367759904278,2.0044098168267213,1.555334355196616"
1,122,"1.5434540519788882,1.6432485990078005,2.0899479999943607"
1,123,"1.7002740544528931,1.1395237425761484,1.7858122376205323"
1,124,"2.0044098168267213,1.555334355196616,1.7406670853931674"
1,125,"1.6432485990078005,2.0899479999943607,1.4983088997515233"
1,126,"1.1395237425761484,1.7858122376205323,1.8523419356398072"
1,127,"1.555334355196616,1.7406670853931674,1.263078896040516"
1,128,"2.0899479999943607,1.4983088997515233,1.0682419232697828"
1,129,"1.7858122376205323,1.8523419356398072,1.1799167735164224"
1,130,"1.7406670853931674,1.263078896040516,1.538701930691797"
1,131,"1.4983088997515233,1.0682419232697828,1.2749591992582436"
1,132,"1.8523419356398072,1.1799167735164224,1.5078131423257055"
1,133,"1.263078896040516,1.538701930691797,1.614735871285254"
1,134,"1.0682419232697828,1.2749591992582436,0.9731994975279615"
1,135,"1.1799167735164224,1.5078131423257055,1.3842579888613378"
1,136,"1.538701930691797,1.614735871285254,1.0872504084181465"
1,137,"1.2749591992582436,0.9731994975279615,1.4436595049499763"
1,138,"1.5078131423257055,1.3842579888613378,1.1632843490116036"
1,139,"1.614735871285254,1.0872504084181465,1.1490279851503302"
1,140,"0.9731994975279615,1.4436595049499763,1.1205152574277841"
1,141,"1.3842579888613378,1.1632843490116036,0.9019176782215956"
1,142,"1.0872504084181465,1.1490279851503302,0.7664822215395005"
1,143,"1.4436595049499763,1.1205152574277841,0.9779516188150525"
1,144,"1.1632843490116036,0.9019176782215956,1.3890101101484287"
1,145,"1.1490279851503302,0.7664822215395005,0.6975764628766797"
1,146,"1.1205152574277841,0.9779516188150525,1.0468573774778729"
1,147,"0.9019176782215956,1.3890101101484287,1.127643439358421"
1,148,"0.7664822215395005,0.6975764628766797,1.0539855594085095"
1,149,"0.9779516188150525,1.0468573774778729,0.9399346485183242"
1,150,"1.3890101101484287,1.127643439358421,0.6833200990154068"
1,151,"0.6975764628766797,1.0539855594085095,0.9874558613892347"
1,152,"1.0468573774778729,0.9399346485183242,1.7715558737592592"
1,153,"1.127643439358421,0.6833200990154068,1.773931934402805"
1,154,"1.0539855594085095,0.9874558613892347,1.6503767809384373"
1,155,"0.9399346485183242,1.7715558737592592,1.6883937512351659"
1,156,"0.6833200990154068,1.773931934402805,1.8713504207881715"
1,157,"0.9874558613892347,1.6503767809384373,1.538701930691797"
1,158,"1.7715558737592592,1.6883937512351659,1.19179707673415"
1,159,"1.773931934402805,1.8713504207881715,1.4626679900983406"
1,160,"1.6503767809384373,1.538701930691797,1.0492334381214186"
1,161,"1.6883937512351659,1.19179707673415,1.1038828329229655"
1,162,"1.8713504207881715,1.4626679900983406,0.904293738865141"
1,163,"1.538701930691797,1.0492334381214186,1.3818819282177925"
1,164,"1.19179707673415,1.1038828329229655,1.5672146584143436"
1,165,"1.4626679900983406,0.904293738865141,1.6289922351465274"
1,166,"1.0492334381214186,1.3818819282177925,1.3771298069307014"
1,167,"1.1038828329229655,1.5672146584143436,1.6670092054432557"
1,168,"0.904293738865141,1.6289922351465274,1.1062588935665107"
1,169,"1.3818819282177925,1.3771298069307014,1.3723776856436105"
1,170,"1.5672146584143436,1.6670092054432557,1.137147681932603"
2,1,"3.12252696399164,2.3075245670979947,1.6703408749811448"
2,2,"2.729843990942884,2.722434878243851,2.4482977083796245"
2,3,"3.181799865583905,2.3556837996417106,2.322342792496061"
2,4,"2.3075245670979947,1.6703408749811448,2.618707300457387"
2,5,"2.722434878243851,2.4482977083796245,1.9074324813502055"
2,6,"2.3556837996417106,2.322342792496061,2.0630238480299017"
2,7,"1.6703408749811448,2.618707300457387,2.1519332004182994"
2,8,"2.4482977083796245,1.9074324813502055,1.8777960305540728"
2,9,"2.322342792496061,2.0630238480299017,2.414956701233976"
2,10,"2.618707300457387,2.1519332004182994,1.8333413543598738"
2,11,"1.9074324813502055,1.8777960305540728,1.6184770860879127"
2,12,"2.0630238480299017,2.414956701233976,1.6666363186316286"
2,13,"2.1519332004182994,1.8333413543598738,1.9407734884958543"
2,14,"1.8777960305540728,1.6184770860879127,1.8370459107093902"
2,15,"2.414956701233976,1.6666363186316286,1.4777039448062832"
2,16,"1.8333413543598738,1.9407734884958543,1.3109989090780378"
2,17,"1.6184770860879127,1.8370459107093902,1.3591581416217529"
2,18,"1.6666363186316286,1.4777039448062832,1.733318332922927"
2,19,"1.9407734884958543,1.3109989090780378,2.1074785242241005"
2,20,"1.8370459107093902,1.3591581416217529,1.292476127330455"
2,21,"1.4777039448062832,1.733318332922927,1.2628396765343222"
2,22,"1.3109989090780378,2.1074785242241005,0.8182929145923337"
2,23,"1.3591581416217529,1.292476127330455,-0.14118717993245797"
2,24,"1.733318332922927,1.2628396765343222,1.0183389574662285"
2,25,"2.1074785242241005,0.8182929145923337,1.47029483210725"
2,26,"1.292476127330455,-0.14118717993245797,1.5517950717966147"
2,27,"1.2628396765343222,1.0183389574662285,0.7923610201457175"
2,28,"0.8182929145923337,1.47029483210725,-0.17452818707810713"
2,29,"-0.14118717993245797,1.5517950717966147,1.2443168947867396"
2,30,"1.0183389574662285,0.7923610201457175,1.040566295563328"
2,31,"1.47029483210725,-0.17452818707810713,1.073907302708977"
2,32,"1.5517950717966147,1.2443168947867396,0.8775658161845988"
2,33,"0.7923610201457175,1.040566295563328,0.9220204923787977"
2,34,"-0.17452818707810713,1.073907302708977,1.2257941130391565"
2,35,"1.2443168947867396,0.8775658161845988,0.7182698931553864"
2,36,"1.040566295563328,0.9220204923787977,1.214680443990607"
2,37,"1.073907302708977,1.2257941130391565,0.6923379987087704"
2,38,"0.8775658161845988,0.7182698931553864,0.23297301136871565"
2,39,"0.9220204923787977,1.214680443990607,0.8553384780874993"
2,40,"1.2257941130391565,0.6923379987087704,1.0331571828642947"
2,41,"0.7182698931553864,0.23297301136871565,0.055154306591920235"
2,42,"1.214680443990607,0.8553384780874993,0.04404063754337053"
2,43,"0.6923379987087704,1.0331571828642947,0.3700415963008287"
2,44,"0.23297301136871565,0.055154306591920235,-0.33752866645683627"
2,45,"0.8553384780874993,0.04404063754337053,0.12924543358225157"
