neuron,behavior,calcium_events,duration_seconds,frequency_hz
n1,ALL,20,624.7916666666667,0.0320106702234078
n1,Middle,3,62.083333333333336,0.04832214765100671
n1,Close,14,384.7916666666667,0.03638332430969139
n1,Middle-to-Open,0,1.0416666666666667,0.0
n1,Open,5,115.41666666666667,0.04332129963898917
n1,Open-Peer,3,32.91666666666667,0.0911392405063291
n1,Middle-to-OpenPeer,0,7.5,0.0
n1,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n1,Middle-Climb,0,2.5,0.0
n1,Rat-head-jamming,0,1.4583333333333335,0.0
n2,ALL,14,624.7916666666667,0.02240746915638546
n2,Middle,6,62.083333333333336,0.09664429530201342
n2,Close,10,384.7916666666667,0.025988088792636706
n2,Middle-to-Open,0,1.0416666666666667,0.0
n2,Open,1,115.41666666666667,0.008664259927797834
n2,Open-Peer,2,32.91666666666667,0.06075949367088607
n2,Middle-to-OpenPeer,0,7.5,0.0
n2,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n2,Middle-Climb,0,2.5,0.0
n2,Rat-head-jamming,0,1.4583333333333335,0.0
n3,ALL,17,624.7916666666667,0.02720906968989663
n3,Middle,2,62.083333333333336,0.03221476510067114
n3,Close,12,384.7916666666667,0.03118570655116405
n3,Middle-to-Open,0,1.0416666666666667,0.0
n3,Open,6,115.41666666666667,0.051985559566787
n3,Open-Peer,2,32.91666666666667,0.06075949367088607
n3,Middle-to-OpenPeer,0,7.5,0.0
n3,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n3,Middle-Climb,0,2.5,0.0
n3,Rat-head-jamming,0,1.4583333333333335,0.0
n4,ALL,17,624.7916666666667,0.02720906968989663
n4,Middle,2,62.083333333333336,0.03221476510067114
n4,Close,12,384.7916666666667,0.03118570655116405
n4,Middle-to-Open,0,1.0416666666666667,0.0
n4,Open,5,115.41666666666667,0.04332129963898917
n4,Open-Peer,3,32.91666666666667,0.0911392405063291
n4,Middle-to-OpenPeer,0,7.5,0.0
n4,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n4,Middle-Climb,0,2.5,0.0
n4,Rat-head-jamming,0,1.4583333333333335,0.0
n5,ALL,21,624.7916666666667,0.03361120373457819
n5,Middle,3,62.083333333333336,0.04832214765100671
n5,Close,14,384.7916666666667,0.03638332430969139
n5,Middle-to-Open,0,1.0416666666666667,0.0
n5,Open,4,115.41666666666667,0.034657039711191336
n5,Open-Peer,1,32.91666666666667,0.030379746835443033
n5,Middle-to-OpenPeer,0,7.5,0.0
n5,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n5,Middle-Climb,0,2.5,0.0
n5,Rat-head-jamming,0,1.4583333333333335,0.0
n6,ALL,5,624.7916666666667,0.00800266755585195
n6,Middle,4,62.083333333333336,0.06442953020134227
n6,Close,8,384.7916666666667,0.020790471034109366
n6,Middle-to-Open,0,1.0416666666666667,0.0
n6,Open,2,115.41666666666667,0.017328519855595668
n6,Open-Peer,1,32.91666666666667,0.030379746835443033
n6,Middle-to-OpenPeer,0,7.5,0.0
n6,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n6,Middle-Climb,0,2.5,0.0
n6,Rat-head-jamming,0,1.4583333333333335,0.0
n8,ALL,24,624.7916666666667,0.03841280426808936
n8,Middle,1,62.083333333333336,0.01610738255033557
n8,Close,17,384.7916666666667,0.0441797509474824
n8,Middle-to-Open,0,1.0416666666666667,0.0
n8,Open,4,115.41666666666667,0.034657039711191336
n8,Open-Peer,2,32.91666666666667,0.06075949367088607
n8,Middle-to-OpenPeer,0,7.5,0.0
n8,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n8,Middle-Climb,0,2.5,0.0
n8,Rat-head-jamming,0,1.4583333333333335,0.0
n9,ALL,6,624.7916666666667,0.00960320106702234
n9,Middle,4,62.083333333333336,0.06442953020134227
n9,Close,7,384.7916666666667,0.018191662154845696
n9,Middle-to-Open,0,1.0416666666666667,0.0
n9,Open,4,115.41666666666667,0.034657039711191336
n9,Open-Peer,3,32.91666666666667,0.0911392405063291
n9,Middle-to-OpenPeer,0,7.5,0.0
n9,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n9,Middle-Climb,0,2.5,0.0
n9,Rat-head-jamming,0,1.4583333333333335,0.0
n11,ALL,14,624.7916666666667,0.02240746915638546
n11,Middle,3,62.083333333333336,0.04832214765100671
n11,Close,9,384.7916666666667,0.023389279913373036
n11,Middle-to-Open,0,1.0416666666666667,0.0
n11,Open,1,115.41666666666667,0.008664259927797834
n11,Open-Peer,0,32.91666666666667,0.0
n11,Middle-to-OpenPeer,0,7.5,0.0
n11,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n11,Middle-Climb,0,2.5,0.0
n11,Rat-head-jamming,0,1.4583333333333335,0.0
n12,ALL,10,624.7916666666667,0.0160053351117039
n12,Middle,0,62.083333333333336,0.0
n12,Close,6,384.7916666666667,0.015592853275582024
n12,Middle-to-Open,0,1.0416666666666667,0.0
n12,Open,3,115.41666666666667,0.0259927797833935
n12,Open-Peer,1,32.91666666666667,0.030379746835443033
n12,Middle-to-OpenPeer,0,7.5,0.0
n12,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n12,Middle-Climb,0,2.5,0.0
n12,Rat-head-jamming,0,1.4583333333333335,0.0
n13,ALL,13,624.7916666666667,0.020806935645215067
n13,Middle,2,62.083333333333336,0.03221476510067114
n13,Close,9,384.7916666666667,0.023389279913373036
n13,Middle-to-Open,0,1.0416666666666667,0.0
n13,Open,5,115.41666666666667,0.04332129963898917
n13,Open-Peer,2,32.91666666666667,0.06075949367088607
n13,Middle-to-OpenPeer,0,7.5,0.0
n13,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n13,Middle-Climb,0,2.5,0.0
n13,Rat-head-jamming,0,1.4583333333333335,0.0
n14,ALL,13,624.7916666666667,0.020806935645215067
n14,Middle,2,62.083333333333336,0.03221476510067114
n14,Close,10,384.7916666666667,0.025988088792636706
n14,Middle-to-Open,0,1.0416666666666667,0.0
n14,Open,3,115.41666666666667,0.0259927797833935
n14,Open-Peer,2,32.91666666666667,0.06075949367088607
n14,Middle-to-OpenPeer,1,7.5,0.13333333333333333
n14,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n14,Middle-Climb,0,2.5,0.0
n14,Rat-head-jamming,0,1.4583333333333335,0.0
n15,ALL,10,624.7916666666667,0.0160053351117039
n15,Middle,2,62.083333333333336,0.03221476510067114
n15,Close,6,384.7916666666667,0.015592853275582024
n15,Middle-to-Open,0,1.0416666666666667,0.0
n15,Open,5,115.41666666666667,0.04332129963898917
n15,Open-Peer,1,32.91666666666667,0.030379746835443033
n15,Middle-to-OpenPeer,1,7.5,0.13333333333333333
n15,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n15,Middle-Climb,0,2.5,0.0
n15,Rat-head-jamming,0,1.4583333333333335,0.0
n16,ALL,16,624.7916666666667,0.02560853617872624
n16,Middle,5,62.083333333333336,0.08053691275167785
n16,Close,7,384.7916666666667,0.018191662154845696
n16,Middle-to-Open,0,1.0416666666666667,0.0
n16,Open,6,115.41666666666667,0.051985559566787
n16,Open-Peer,2,32.91666666666667,0.06075949367088607
n16,Middle-to-OpenPeer,1,7.5,0.13333333333333333
n16,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n16,Middle-Climb,0,2.5,0.0
n16,Rat-head-jamming,0,1.4583333333333335,0.0
n17,ALL,22,624.7916666666667,0.03521173724574858
n17,Middle,4,62.083333333333336,0.06442953020134227
n17,Close,19,384.7916666666667,0.04937736870600974
n17,Middle-to-Open,0,1.0416666666666667,0.0
n17,Open,5,115.41666666666667,0.04332129963898917
n17,Open-Peer,2,32.91666666666667,0.06075949367088607
n17,Middle-to-OpenPeer,0,7.5,0.0
n17,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n17,Middle-Climb,0,2.5,0.0
n17,Rat-head-jamming,0,1.4583333333333335,0.0
n18,ALL,20,624.7916666666667,0.0320106702234078
n18,Middle,4,62.083333333333336,0.06442953020134227
n18,Close,13,384.7916666666667,0.03378451543042772
n18,Middle-to-Open,0,1.0416666666666667,0.0
n18,Open,5,115.41666666666667,0.04332129963898917
n18,Open-Peer,2,32.91666666666667,0.06075949367088607
n18,Middle-to-OpenPeer,0,7.5,0.0
n18,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n18,Middle-Climb,0,2.5,0.0
n18,Rat-head-jamming,0,1.4583333333333335,0.0
n19,ALL,20,624.7916666666667,0.0320106702234078
n19,Middle,3,62.083333333333336,0.04832214765100671
n19,Close,9,384.7916666666667,0.023389279913373036
n19,Middle-to-Open,0,1.0416666666666667,0.0
n19,Open,5,115.41666666666667,0.04332129963898917
n19,Open-Peer,1,32.91666666666667,0.030379746835443033
n19,Middle-to-OpenPeer,0,7.5,0.0
n19,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n19,Middle-Climb,0,2.5,0.0
n19,Rat-head-jamming,0,1.4583333333333335,0.0
n20,ALL,10,624.7916666666667,0.0160053351117039
n20,Middle,3,62.083333333333336,0.04832214765100671
n20,Close,5,384.7916666666667,0.012994044396318353
n20,Middle-to-Open,0,1.0416666666666667,0.0
n20,Open,2,115.41666666666667,0.017328519855595668
n20,Open-Peer,2,32.91666666666667,0.06075949367088607
n20,Middle-to-OpenPeer,0,7.5,0.0
n20,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n20,Middle-Climb,0,2.5,0.0
n20,Rat-head-jamming,0,1.4583333333333335,0.0
n21,ALL,5,624.7916666666667,0.00800266755585195
n21,Middle,5,62.083333333333336,0.08053691275167785
n21,Close,7,384.7916666666667,0.018191662154845696
n21,Middle-to-Open,0,1.0416666666666667,0.0
n21,Open,0,115.41666666666667,0.0
n21,Open-Peer,0,32.91666666666667,0.0
n21,Middle-to-OpenPeer,0,7.5,0.0
n21,Middle-to-ClosePeer,0,1.6666666666666667,0.0
