behavior,total_calcium_events,duration_seconds,frequency_hz,neuron_count,avg_frequency_per_neuron
ALL,756,624.7916666666667,1.210003334444815,51,0.023725555577349313
Middle,139,62.083333333333336,2.238926174496644,51,0.04390051322542439
Close,517,384.7916666666667,1.3435841905793178,51,0.026344788050574858
Middle-to-Open,0,1.0416666666666667,0.0,51,0.0
Open,183,115.41666666666667,1.5855595667870035,51,0.031089403270333403
Open-Peer,64,32.91666666666667,1.9443037974683541,51,0.038123603871928514
Middle-to-OpenPeer,17,7.5,2.2666666666666666,51,0.044444444444444446
Middle-to-ClosePeer,0,1.6666666666666667,0.0,51,0.0
Middle-Climb,0,2.5,0.0,51,0.0
Rat-head-jamming,0,1.4583333333333335,0.0,51,0.0
