neuron,behavior,calcium_events,duration_seconds,frequency_hz
n1,ALL,6,624.7916666666667,0.00960320106702234
n1,Open-arm,2,55.41666666666667,0.03609022556390977
n1,Middle,1,17.083333333333336,0.05853658536585365
n1,Close-arm,3,195.83333333333334,0.015319148936170212
n1,Close-arm-Stand,1,25.0,0.04
n1,Close-arm-groom,3,111.875,0.026815642458100558
n1,Close-arm-stiff,2,202.29166666666669,0.009886714727085478
n1,Open-arm-probe,0,5.0,0.0
n1,Open-arm-clime,0,1.875,0.0
n1,Middle-scratch,0,1.4583333333333335,0.0
n1,Close-arm-clime,0,1.6666666666666667,0.0
n2,ALL,8,624.7916666666667,0.01280426808936312
n2,Open-arm,3,55.41666666666667,0.054135338345864654
n2,Middle,0,17.083333333333336,0.0
n2,Close-arm,5,195.83333333333334,0.02553191489361702
n2,Close-arm-Stand,1,25.0,0.04
n2,Close-arm-groom,2,111.875,0.017877094972067038
n2,Close-arm-stiff,6,202.29166666666669,0.029660144181256433
n2,Open-arm-probe,0,5.0,0.0
n2,Open-arm-clime,0,1.875,0.0
n2,Middle-scratch,0,1.4583333333333335,0.0
n2,Close-arm-clime,0,1.6666666666666667,0.0
n3,ALL,11,624.7916666666667,0.01760586862287429
n3,Open-arm,2,55.41666666666667,0.03609022556390977
n3,Middle,0,17.083333333333336,0.0
n3,Close-arm,3,195.83333333333334,0.015319148936170212
n3,Close-arm-Stand,0,25.0,0.0
n3,Close-arm-groom,2,111.875,0.017877094972067038
n3,Close-arm-stiff,5,202.29166666666669,0.024716786817713696
n3,Open-arm-probe,1,5.0,0.2
n3,Open-arm-clime,0,1.875,0.0
n3,Middle-scratch,0,1.4583333333333335,0.0
n3,Close-arm-clime,0,1.6666666666666667,0.0
n4,ALL,8,624.7916666666667,0.01280426808936312
n4,Open-arm,1,55.41666666666667,0.018045112781954885
n4,Middle,0,17.083333333333336,0.0
n4,Close-arm,5,195.83333333333334,0.02553191489361702
n4,Close-arm-Stand,0,25.0,0.0
n4,Close-arm-groom,2,111.875,0.017877094972067038
n4,Close-arm-stiff,6,202.29166666666669,0.029660144181256433
n4,Open-arm-probe,0,5.0,0.0
n4,Open-arm-clime,0,1.875,0.0
n4,Middle-scratch,0,1.4583333333333335,0.0
n4,Close-arm-clime,0,1.6666666666666667,0.0
n5,ALL,12,624.7916666666667,0.01920640213404468
n5,Open-arm,0,55.41666666666667,0.0
n5,Middle,0,17.083333333333336,0.0
n5,Close-arm,6,195.83333333333334,0.030638297872340424
n5,Close-arm-Stand,1,25.0,0.04
n5,Close-arm-groom,5,111.875,0.0446927374301676
n5,Close-arm-stiff,7,202.29166666666669,0.03460350154479917
n5,Open-arm-probe,0,5.0,0.0
n5,Open-arm-clime,0,1.875,0.0
n5,Middle-scratch,0,1.4583333333333335,0.0
n5,Close-arm-clime,0,1.6666666666666667,0.0
n6,ALL,12,624.7916666666667,0.01920640213404468
n6,Open-arm,2,55.41666666666667,0.03609022556390977
n6,Middle,0,17.083333333333336,0.0
n6,Close-arm,7,195.83333333333334,0.03574468085106383
n6,Close-arm-Stand,1,25.0,0.04
n6,Close-arm-groom,0,111.875,0.0
n6,Close-arm-stiff,6,202.29166666666669,0.029660144181256433
n6,Open-arm-probe,0,5.0,0.0
n6,Open-arm-clime,0,1.875,0.0
n6,Middle-scratch,0,1.4583333333333335,0.0
n6,Close-arm-clime,0,1.6666666666666667,0.0
n7,ALL,14,624.7916666666667,0.02240746915638546
n7,Open-arm,2,55.41666666666667,0.03609022556390977
n7,Middle,1,17.083333333333336,0.05853658536585365
n7,Close-arm,9,195.83333333333334,0.04595744680851064
n7,Close-arm-Stand,1,25.0,0.04
n7,Close-arm-groom,2,111.875,0.017877094972067038
n7,Close-arm-stiff,3,202.29166666666669,0.014830072090628216
n7,Open-arm-probe,1,5.0,0.2
n7,Open-arm-clime,0,1.875,0.0
n7,Middle-scratch,0,1.4583333333333335,0.0
n7,Close-arm-clime,0,1.6666666666666667,0.0
n8,ALL,7,624.7916666666667,0.01120373457819273
n8,Open-arm,1,55.41666666666667,0.018045112781954885
n8,Middle,1,17.083333333333336,0.05853658536585365
n8,Close-arm,6,195.83333333333334,0.030638297872340424
n8,Close-arm-Stand,0,25.0,0.0
n8,Close-arm-groom,3,111.875,0.026815642458100558
n8,Close-arm-stiff,7,202.29166666666669,0.03460350154479917
n8,Open-arm-probe,1,5.0,0.2
n8,Open-arm-clime,0,1.875,0.0
n8,Middle-scratch,0,1.4583333333333335,0.0
n8,Close-arm-clime,0,1.6666666666666667,0.0
n9,ALL,10,624.7916666666667,0.0160053351117039
n9,Open-arm,1,55.41666666666667,0.018045112781954885
n9,Middle,0,17.083333333333336,0.0
n9,Close-arm,4,195.83333333333334,0.020425531914893616
n9,Close-arm-Stand,1,25.0,0.04
n9,Close-arm-groom,1,111.875,0.008938547486033519
n9,Close-arm-stiff,2,202.29166666666669,0.009886714727085478
n9,Open-arm-probe,0,5.0,0.0
n9,Open-arm-clime,0,1.875,0.0
n9,Middle-scratch,0,1.4583333333333335,0.0
n9,Close-arm-clime,0,1.6666666666666667,0.0
n10,ALL,14,624.7916666666667,0.02240746915638546
n10,Open-arm,1,55.41666666666667,0.018045112781954885
n10,Middle,1,17.083333333333336,0.05853658536585365
n10,Close-arm,6,195.83333333333334,0.030638297872340424
n10,Close-arm-Stand,0,25.0,0.0
n10,Close-arm-groom,3,111.875,0.026815642458100558
n10,Close-arm-stiff,6,202.29166666666669,0.029660144181256433
n10,Open-arm-probe,0,5.0,0.0
n10,Open-arm-clime,0,1.875,0.0
n10,Middle-scratch,0,1.4583333333333335,0.0
n10,Close-arm-clime,0,1.6666666666666667,0.0
