behavior,total_calcium_events,duration_seconds,frequency_hz,neuron_count,avg_frequency_per_neuron
ALL,522,624.7916666666667,0.8354784928309436,48,0.01740580193397799
Open-arm,63,55.41666666666667,1.1368421052631579,48,0.02368421052631579
Middle,12,17.083333333333336,0.7024390243902439,48,0.014634146341463414
Close-arm,238,195.83333333333334,1.21531914893617,48,0.02531914893617021
Close-arm-Stand,29,25.0,1.16,48,0.024166666666666666
Close-arm-groom,113,111.875,1.0100558659217878,48,0.021042830540037246
Close-arm-stiff,259,202.29166666666669,1.2803295571575695,48,0.0266735324407827
Open-arm-probe,13,5.0,2.6,48,0.05416666666666667
Open-arm-clime,0,1.875,0.0,48,0.0
Middle-scratch,0,1.4583333333333335,0.0,48,0.0
Close-arm-clime,0,1.6666666666666667,0.0,48,0.0
