neuron,behavior,calcium_events,duration_seconds,frequency_hz
n1,ALL,12,2999.0,0.0040013337779259755
n1,Exp,11,2457.0,0.004477004477004477
n1,Gro,2,377.0,0.005305039787798408
n1,Trem,0,113.0,0.0
n1,CD1,0,1.0,0.0
n1,Sta,0,36.0,0.0
n1,Scra,0,15.0,0.0
n2,ALL,15,2999.0,0.005001667222407469
n2,Exp,12,2457.0,0.004884004884004884
n2,Gro,2,377.0,0.005305039787798408
n2,Trem,1,113.0,0.008849557522123894
n2,CD1,0,1.0,0.0
n2,Sta,0,36.0,0.0
n2,Scra,0,15.0,0.0
n3,ALL,12,2999.0,0.0040013337779259755
n3,Exp,11,2457.0,0.004477004477004477
n3,Gro,1,377.0,0.002652519893899204
n3,Trem,2,113.0,0.017699115044247787
n3,CD1,0,1.0,0.0
n3,Sta,0,36.0,0.0
n3,Scra,0,15.0,0.0
n4,ALL,11,2999.0,0.003667889296432144
n4,Exp,9,2457.0,0.003663003663003663
n4,Gro,1,377.0,0.002652519893899204
n4,Trem,0,113.0,0.0
n4,CD1,0,1.0,0.0
n4,Sta,0,36.0,0.0
n4,Scra,0,15.0,0.0
n5,ALL,13,2999.0,0.004334778259419807
n5,Exp,12,2457.0,0.004884004884004884
n5,Gro,2,377.0,0.005305039787798408
n5,Trem,1,113.0,0.008849557522123894
n5,CD1,0,1.0,0.0
n5,Sta,0,36.0,0.0
n5,Scra,0,15.0,0.0
n6,ALL,11,2999.0,0.003667889296432144
n6,Exp,13,2457.0,0.005291005291005291
n6,Gro,2,377.0,0.005305039787798408
n6,Trem,0,113.0,0.0
n6,CD1,0,1.0,0.0
n6,Sta,0,36.0,0.0
n6,Scra,0,15.0,0.0
n7,ALL,8,2999.0,0.00266755585195065
n7,Exp,9,2457.0,0.003663003663003663
n7,Gro,2,377.0,0.005305039787798408
n7,Trem,1,113.0,0.008849557522123894
n7,CD1,0,1.0,0.0
n7,Sta,0,36.0,0.0
n7,Scra,0,15.0,0.0
n8,ALL,13,2999.0,0.004334778259419807
n8,Exp,11,2457.0,0.004477004477004477
n8,Gro,1,377.0,0.002652519893899204
n8,Trem,1,113.0,0.008849557522123894
n8,CD1,0,1.0,0.0
n8,Sta,0,36.0,0.0
n8,Scra,0,15.0,0.0
n9,ALL,12,2999.0,0.0040013337779259755
n9,Exp,13,2457.0,0.005291005291005291
n9,Gro,1,377.0,0.002652519893899204
n9,Trem,1,113.0,0.008849557522123894
n9,CD1,0,1.0,0.0
n9,Sta,1,36.0,0.027777777777777776
n9,Scra,0,15.0,0.0
n10,ALL,11,2999.0,0.003667889296432144
n10,Exp,11,2457.0,0.004477004477004477
n10,Gro,1,377.0,0.002652519893899204
n10,Trem,1,113.0,0.008849557522123894
n10,CD1,0,1.0,0.0
n10,Sta,0,36.0,0.0
n10,Scra,0,15.0,0.0
n12,ALL,14,2999.0,0.004668222740913638
n12,Exp,9,2457.0,0.003663003663003663
n12,Gro,1,377.0,0.002652519893899204
n12,Trem,0,113.0,0.0
n12,CD1,0,1.0,0.0
n12,Sta,0,36.0,0.0
n12,Scra,0,15.0,0.0
n13,ALL,10,2999.0,0.003334444814938313
n13,Exp,6,2457.0,0.002442002442002442
n13,Gro,2,377.0,0.005305039787798408
n13,Trem,1,113.0,0.008849557522123894
n13,CD1,0,1.0,0.0
n13,Sta,1,36.0,0.027777777777777776
n13,Scra,0,15.0,0.0
n14,ALL,14,2999.0,0.004668222740913638
n14,Exp,13,2457.0,0.005291005291005291
n14,Gro,2,377.0,0.005305039787798408
