neuron,behavior,calcium_events,duration_seconds,frequency_hz
n1,ALL,8,2999.0,0.00266755585195065
n1,Open-arm,2,204.0,0.00980392156862745
n1,Open-arm-tremble,6,2724.0,0.0022026431718061676
n2,ALL,8,2999.0,0.00266755585195065
n2,Open-arm,0,204.0,0.0
n2,Open-arm-tremble,8,2724.0,0.002936857562408223
n3,ALL,10,2999.0,0.003334444814938313
n3,Open-arm,1,204.0,0.004901960784313725
n3,Open-arm-tremble,9,2724.0,0.003303964757709251
n5,ALL,8,2999.0,0.00266755585195065
n5,Open-arm,1,204.0,0.004901960784313725
n5,Open-arm-tremble,9,2724.0,0.003303964757709251
n6,ALL,7,2999.0,0.002334111370456819
n6,Open-arm,2,204.0,0.00980392156862745
n6,Open-arm-tremble,7,2724.0,0.0025697503671071953
n7,ALL,9,2999.0,0.0030010003334444814
n7,Open-arm,0,204.0,0.0
n7,Open-arm-tremble,9,2724.0,0.003303964757709251
n8,ALL,11,2999.0,0.003667889296432144
n8,Open-arm,1,204.0,0.004901960784313725
n8,Open-arm-tremble,8,2724.0,0.002936857562408223
n9,ALL,8,2999.0,0.00266755585195065
n9,Open-arm,1,204.0,0.004901960784313725
n9,Open-arm-tremble,7,2724.0,0.0025697503671071953
n10,ALL,6,2999.0,0.0020006668889629878
n10,Open-arm,0,204.0,0.0
n10,Open-arm-tremble,6,2724.0,0.0022026431718061676
n11,ALL,11,2999.0,0.003667889296432144
n11,Open-arm,1,204.0,0.004901960784313725
n11,Open-arm-tremble,10,2724.0,0.003671071953010279
n12,ALL,9,2999.0,0.0030010003334444814
n12,Open-arm,0,204.0,0.0
n12,Open-arm-tremble,9,2724.0,0.003303964757709251
n13,ALL,11,2999.0,0.003667889296432144
n13,Open-arm,0,204.0,0.0
n13,Open-arm-tremble,10,2724.0,0.003671071953010279
n15,ALL,6,2999.0,0.0020006668889629878
n15,Open-arm,1,204.0,0.004901960784313725
n15,Open-arm-tremble,6,2724.0,0.0022026431718061676
n16,ALL,9,2999.0,0.0030010003334444814
n16,Open-arm,0,204.0,0.0
n16,Open-arm-tremble,9,2724.0,0.003303964757709251
