neuron,behavior,calcium_events,duration_seconds,frequency_hz
n1,ALL,16,624.7916666666667,0.02560853617872624
n1,Open-arm-exp,2,36.04166666666667,0.05549132947976878
n1,Middle-zone,5,214.79166666666669,0.023278370514064013
n1,Open-arm-head dipping,1,23.125,0.043243243243243246
n1,Close-arm,9,280.625,0.032071269487750555
n1,Open-arm,1,37.083333333333336,0.026966292134831458
n1,Close-armed-Exp,0,16.666666666666668,0.0
n1,open-arm-freezing,0,3.541666666666667,0.0
n1,Middle-zone-freezing,1,6.041666666666667,0.16551724137931034
n1,Closed-arm-freezing,0,6.25,0.0
n2,ALL,16,624.7916666666667,0.02560853617872624
n2,Open-arm-exp,1,36.04166666666667,0.02774566473988439
n2,Middle-zone,6,214.79166666666669,0.027934044616876815
n2,Open-arm-head dipping,0,23.125,0.0
n2,Close-arm,8,280.625,0.028507795100222718
n2,Open-arm,1,37.083333333333336,0.026966292134831458
n2,Close-armed-Exp,1,16.666666666666668,0.06
n2,open-arm-freezing,0,3.541666666666667,0.0
n2,Middle-zone-freezing,1,6.041666666666667,0.16551724137931034
n2,Closed-arm-freezing,0,6.25,0.0
n3,ALL,19,624.7916666666667,0.03041013671223741
n3,Open-arm-exp,2,36.04166666666667,0.05549132947976878
n3,Middle-zone,7,214.79166666666669,0.03258971871968962
n3,Open-arm-head dipping,1,23.125,0.043243243243243246
n3,Close-arm,8,280.625,0.028507795100222718
n3,Open-arm,3,37.083333333333336,0.08089887640449438
n3,Close-armed-Exp,1,16.666666666666668,0.06
n3,open-arm-freezing,0,3.541666666666667,0.0
n3,Middle-zone-freezing,0,6.041666666666667,0.0
n3,Closed-arm-freezing,0,6.25,0.0
n4,ALL,12,624.7916666666667,0.01920640213404468
n4,Open-arm-exp,0,36.04166666666667,0.0
n4,Middle-zone,6,214.79166666666669,0.027934044616876815
n4,Open-arm-head dipping,0,23.125,0.0
n4,Close-arm,8,280.625,0.028507795100222718
n4,Open-arm,1,37.083333333333336,0.026966292134831458
n4,Close-armed-Exp,0,16.666666666666668,0.0
n4,open-arm-freezing,0,3.541666666666667,0.0
n4,Middle-zone-freezing,0,6.041666666666667,0.0
n4,Closed-arm-freezing,0,6.25,0.0
n5,ALL,14,624.7916666666667,0.02240746915638546
n5,Open-arm-exp,2,36.04166666666667,0.05549132947976878
n5,Middle-zone,7,214.79166666666669,0.03258971871968962
n5,Open-arm-head dipping,1,23.125,0.043243243243243246
n5,Close-arm,7,280.625,0.024944320712694878
n5,Open-arm,1,37.083333333333336,0.026966292134831458
n5,Close-armed-Exp,0,16.666666666666668,0.0
n5,open-arm-freezing,0,3.541666666666667,0.0
n5,Middle-zone-freezing,1,6.041666666666667,0.16551724137931034
n5,Closed-arm-freezing,0,6.25,0.0
n6,ALL,12,624.7916666666667,0.01920640213404468
n6,Open-arm-exp,2,36.04166666666667,0.05549132947976878
n6,Middle-zone,5,214.79166666666669,0.023278370514064013
n6,Open-arm-head dipping,0,23.125,0.0
n6,Close-arm,9,280.625,0.032071269487750555
n6,Open-arm,0,37.083333333333336,0.0
n6,Close-armed-Exp,0,16.666666666666668,0.0
n6,open-arm-freezing,1,3.541666666666667,0.2823529411764706
n6,Middle-zone-freezing,1,6.041666666666667,0.16551724137931034
n6,Closed-arm-freezing,0,6.25,0.0
n7,ALL,16,624.7916666666667,0.02560853617872624
n7,Open-arm-exp,1,36.04166666666667,0.02774566473988439
n7,Middle-zone,7,214.79166666666669,0.03258971871968962
n7,Open-arm-head dipping,1,23.125,0.043243243243243246
n7,Close-arm,10,280.625,0.035634743875278395
n7,Open-arm,1,37.083333333333336,0.026966292134831458
n7,Close-armed-Exp,1,16.666666666666668,0.06
n7,open-arm-freezing,0,3.541666666666667,0.0
n7,Middle-zone-freezing,0,6.041666666666667,0.0
n7,Closed-arm-freezing,0,6.25,0.0
n8,ALL,5,624.7916666666667,0.00800266755585195
n8,Open-arm-exp,0,36.04166666666667,0.0
n8,Middle-zone,4,214.79166666666669,0.01862269641125121
n8,Open-arm-head dipping,0,23.125,0.0
n8,Close-arm,7,280.625,0.024944320712694878
n8,Open-arm,1,37.083333333333336,0.026966292134831458
n8,Close-armed-Exp,0,16.666666666666668,0.0
n8,open-arm-freezing,0,3.541666666666667,0.0
n8,Middle-zone-freezing,0,6.041666666666667,0.0
n8,Closed-arm-freezing,0,6.25,0.0
n9,ALL,11,624.7916666666667,0.01760586862287429
n9,Open-arm-exp,0,36.04166666666667,0.0
n9,Middle-zone,5,214.79166666666669,0.023278370514064013
n9,Open-arm-head dipping,1,23.125,0.043243243243243246
n9,Close-arm,6,280.625,0.021380846325167038
n9,Open-arm,0,37.083333333333336,0.0
n9,Close-armed-Exp,1,16.666666666666668,0.06
n9,open-arm-freezing,1,3.541666666666667,0.2823529411764706
n9,Middle-zone-freezing,0,6.041666666666667,0.0
n9,Closed-arm-freezing,1,6.25,0.16
n10,ALL,14,624.7916666666667,0.02240746915638546
n10,Open-arm-exp,1,36.04166666666667,0.02774566473988439
n10,Middle-zone,4,214.79166666666669,0.01862269641125121
n10,Open-arm-head dipping,3,23.125,0.12972972972972974
n10,Close-arm,7,280.625,0.024944320712694878
n10,Open-arm,4,37.083333333333336,0.10786516853932583
n10,Close-armed-Exp,0,16.666666666666668,0.0
n10,open-arm-freezing,0,3.541666666666667,0.0
n10,Middle-zone-freezing,1,6.041666666666667,0.16551724137931034
n10,Closed-arm-freezing,0,6.25,0.0
n11,ALL,8,624.7916666666667,0.01280426808936312
n11,Open-arm-exp,0,36.04166666666667,0.0
n11,Middle-zone,3,214.79166666666669,0.013967022308438408
n11,Open-arm-head dipping,0,23.125,0.0
n11,Close-arm,7,280.625,0.024944320712694878
n11,Open-arm,1,37.083333333333336,0.026966292134831458
n11,Close-armed-Exp,0,16.666666666666668,0.0
n11,open-arm-freezing,0,3.541666666666667,0.0
n11,Middle-zone-freezing,0,6.041666666666667,0.0
n11,Closed-arm-freezing,0,6.25,0.0
n12,ALL,11,624.7916666666667,0.01760586862287429
n12,Open-arm-exp,0,36.04166666666667,0.0
n12,Middle-zone,6,214.79166666666669,0.027934044616876815
n12,Open-arm-head dipping,1,23.125,0.043243243243243246
n12,Close-arm,7,280.625,0.024944320712694878
n12,Open-arm,1,37.083333333333336,0.026966292134831458
n12,Close-armed-Exp,0,16.666666666666668,0.0
n12,open-arm-freezing,0,3.541666666666667,0.0
n12,Middle-zone-freezing,0,6.041666666666667,0.0
n12,Closed-arm-freezing,0,6.25,0.0
n13,ALL,5,624.7916666666667,0.00800266755585195
n13,Open-arm-exp,0,36.04166666666667,0.0
n13,Middle-zone,3,214.79166666666669,0.013967022308438408
n13,Open-arm-head dipping,0,23.125,0.0
n13,Close-arm,4,280.625,0.014253897550111359
n13,Open-arm,2,37.083333333333336,0.053932584269662916
n13,Close-armed-Exp,0,16.666666666666668,0.0
n13,open-arm-freezing,0,3.541666666666667,0.0
n13,Middle-zone-freezing,1,6.041666666666667,0.16551724137931034
n13,Closed-arm-freezing,2,6.25,0.32
n14,ALL,3,624.7916666666667,0.00480160053351117
n14,Open-arm-exp,1,36.04166666666667,0.02774566473988439
n14,Middle-zone,1,214.79166666666669,0.004655674102812803
n14,Open-arm-head dipping,0,23.125,0.0
n14,Close-arm,4,280.625,0.014253897550111359
n14,Open-arm,1,37.083333333333336,0.026966292134831458
n14,Close-armed-Exp,1,16.666666666666668,0.06
n14,open-arm-freezing,0,3.541666666666667,0.0
n14,Middle-zone-freezing,0,6.041666666666667,0.0
n14,Closed-arm-freezing,0,6.25,0.0
n15,ALL,8,624.7916666666667,0.01280426808936312
n15,Open-arm-exp,1,36.04166666666667,0.02774566473988439
n15,Middle-zone,3,214.79166666666669,0.013967022308438408
n15,Open-arm-head dipping,1,23.125,0.043243243243243246
n15,Close-arm,7,280.625,0.024944320712694878
n15,Open-arm,1,37.083333333333336,0.026966292134831458
n15,Close-armed-Exp,0,16.666666666666668,0.0
n15,open-arm-freezing,0,3.541666666666667,0.0
n15,Middle-zone-freezing,0,6.041666666666667,0.0
n15,Closed-arm-freezing,0,6.25,0.0
n16,ALL,11,624.7916666666667,0.01760586862287429
n16,Open-arm-exp,1,36.04166666666667,0.02774566473988439
n16,Middle-zone,5,214.79166666666669,0.023278370514064013
n16,Open-arm-head dipping,1,23.125,0.043243243243243246
n16,Close-arm,7,280.625,0.024944320712694878
n16,Open-arm,2,37.083333333333336,0.053932584269662916
n16,Close-armed-Exp,0,16.666666666666668,0.0
n16,open-arm-freezing,0,3.541666666666667,0.0
n16,Middle-zone-freezing,2,6.041666666666667,0.3310344827586207
n16,Closed-arm-freezing,0,6.25,0.0
n17,ALL,18,624.7916666666667,0.02880960320106702
n17,Open-arm-exp,2,36.04166666666667,0.05549132947976878
n17,Middle-zone,8,214.79166666666669,0.03724539282250242
n17,Open-arm-head dipping,1,23.125,0.043243243243243246
n17,Close-arm,15,280.625,0.053452115812917596
n17,Open-arm,0,37.083333333333336,0.0
n17,Close-armed-Exp,1,16.666666666666668,0.06
n17,open-arm-freezing,1,3.541666666666667,0.2823529411764706
n17,Middle-zone-freezing,0,6.041666666666667,0.0
n17,Closed-arm-freezing,1,6.25,0.16
n18,ALL,10,624.7916666666667,0.0160053351117039
n18,Open-arm-exp,0,36.04166666666667,0.0
n18,Middle-zone,4,214.79166666666669,0.01862269641125121
n18,Open-arm-head dipping,1,23.125,0.043243243243243246
n18,Close-arm,6,280.625,0.021380846325167038
