behavior,total_calcium_events,duration_seconds,frequency_hz,neuron_count,avg_frequency_per_neuron
ALL,562,2999.0,0.18739579859953318,43,0.004358041827896121
Open-arm-exp,39,173.0,0.2254335260115607,43,0.005242640139803737
Middle-zone,229,1031.0,0.22211445198836083,43,0.005165452371822345
Open-arm-head dipping,49,111.0,0.44144144144144143,43,0.010266080033521894
Close-arm,326,1347.0,0.24201930215293244,43,0.005628355864021685
Open-arm,53,178.0,0.29775280898876405,43,0.006924483929971257
Close-armed-Exp,15,80.0,0.1875,43,0.00436046511627907
open-arm-freezing,9,17.0,0.5294117647058824,43,0.012311901504787962
Middle-zone-freezing,16,29.0,0.5517241379310345,43,0.012830793905372895
Closed-arm-freezing,8,30.0,0.26666666666666666,43,0.006201550387596899
